,,,,,,,,,,,,,,,"Do not use in model, ok to use to test",
ST61GZR,2021-05-23,average,9.5,"63,000",2,partial,Renault,Megane,Manual,Petrol,Blue,Hatchback,"£1,697",,£847,"£1,350"
SW10HKZ,2021-05-23,good,10.9,"46,000",3,none,Ford,Fiesta,Automatic,Petrol,Black,Hatchback,"£2,948",,"£2,449","£3,300"
KRZ9622,2021-05-23,average,13.3,"140,000",4,none,Audi,A5,Automatic,Diesel,Silver,Coupe,"£2,199",,"£1,624","£2,125"
NL57NXA,2021-05-23,average,13.7,"117,582",2,partial,Vauxhall,Astra,Manual,Petrol,Blue,Hatchback,£150,,£135,£300
NA63KRE,2021-05-23,good,7.3,"43,000",4,partial,Fiat,500,Manual,Petrol,White,Hatchback,"£2,923",,"£1,954","£2,950"
HU60JMG,2021-05-23,good,10.2,"80,000",1,full,Mercedes-Benz,CLS,Automatic,Diesel,Black,Coupe,"£8,151",,"£7,234","£7,600"
RX59EPV,2021-05-23,good,11.7,"86,662",4,partial,Volkswagen,Golf,Automatic,Petrol,Black,Hatchback,"£6,357",,"£5,665","£5,600"
WP12KBZ,2021-05-23,average,8.8,"57,700",1,full,Hyundai,ix20,Automatic,Petrol,Silver,Hatchback,"£3,381",,"£3,003","£3,475"
DS64HYC,2021-05-23,excellent,6.4,"26,000",1,partial,Fiat,500,Manual,Petrol,Blue,Hatchback,"£3,561",,"£4,000","£4,100"
D2USM,2021-05-23,good,13.2,"91,000",2,full,Mercedes-Benz,S Class,Automatic,Petrol,Black,Saloon,"£6,397",,"£5,961","£5,900"
GO55ALZ,2021-05-23,good,12.8,"116,000",2,partial,Volkswagen,Passat,Manual,Diesel,Grey,Saloon,£660,,£661,"£1,000"
MT59JXS,2021-05-23,good,11.4,"109,000",1,full,BMW,3 Series,Automatic,Diesel,Black,Estate,"£4,263",,"£3,383","£5,150"
RV13KNY,2021-05-23,good,8.2,"155,000",1,partial,BMW,3 Series,Automatic,Diesel,Black,Saloon,"£3,348",,"£3,082","£3,775"
SL56KHH,2021-05-23,average,14.7,"76,000",2,partial,Renault,Clio,Manual,Petrol,Blue,Hatchback,£496,,£372,£450
GN10PNV,2021-05-23,poor,11,"71,665",2,partial,Land Rover,Range Rover Sport,Automatic,Diesel,Grey,SUV,"£9,986",,"£7,074","£6,950"
KN64OMW,2021-05-23,good,6.6,"45,000",1,partial,Nissan,Note,Manual,Petrol,White,Hatchback,"£3,073",,"£2,963","£3,475"
MW61NXM,2021-05-23,good,9.3,"75,000",2,partial,Volkswagen,Polo,Manual,Diesel,Black,Hatchback,"£3,066",,"£2,201","£2,950"
SM63OEW,2021-05-23,excellent,7.3,"115,500",2,full,Toyota,Auris,Automatic,Petrol Hybrid,White,Estate,"£5,031",,"£4,700","£5,300"
FP08CCY,2021-05-23,average,13,"126,000",3,partial,Vauxhall,Zafira,Manual,Petrol,Beige,MPV,£244,,£404,£450
LC09LCA,2021-05-23,average,12,"124,350",2,partial,BMW,3 Series,Manual,Petrol,Blue,Estate,"£1,578",,"£1,178","£1,625"
AY63UEC,2021-05-23,average,7.6,"27,000",1,full,Ford,Ka,Manual,Petrol,Red,Hatchback,"£2,838",,"£2,177","£2,400"
ET12KWN,2021-05-23,good,8.8,"48,550",3,full,Ford,C-Max,Manual,Diesel,Silver,MPV,"£3,062",,"£2,454","£3,125"
YE59OPX,2021-05-23,good,11.5,"73,592",4,partial,BMW,1 Series,Automatic,Diesel,White,Hatchback,"£3,526",,"£2,737","£3,900"
YC14BUE,2021-05-23,good,7,"70,000",3,full,BMW,1 Series,Automatic,Diesel,Black,Hatchback,"£6,766",,"£6,484","£7,650"
SB10LVU,2021-05-23,good,10.9,"107,000",3,partial,Peugeot,3008,Manual,Diesel,Grey,SUV,"£1,206",,£865,"£1,375"
YK11ZHX,2021-05-23,good,10.2,"82,000",4,full,BMW,1 Series,Automatic,Diesel,Black,Hatchback,"£3,771",,"£3,248","£4,150"
S31PSR,2021-05-23,excellent,11.5,"87,000",1,full,Mercedes-Benz,E Class,Automatic,Diesel,White,Saloon,"£4,242",,"£4,500","£4,775"
BN63YNA,2021-05-23,average,7.7,"65,000",3,partial,Fiat,Punto,Manual,Petrol,Grey,Hatchback,"£1,405",,£938,"£1,375"
WK56FCP,2021-05-23,good,14.7,"165,000",4,none,Honda,Jazz,Manual,Petrol,Silver,Hatchback,£150,,£50,£250
LB11XRP,2021-05-23,good,9.9,"125,000",2,full,BMW,3 Series,Manual,Diesel,Black,Saloon,"£1,626",,"£1,413","£2,175"
G5RKL,2021-05-23,good,11.4,"84,000",4,full,Land Rover,Range Rover Sport,Automatic,Diesel,Grey,SUV,"£8,577",,"£7,829","£8,400"
CV13WDZ,2021-05-23,average,7.9,"100,000",1,partial,Land Rover,Range Rover Evoque,Manual,Diesel,Black,SUV,"£10,205",,"£8,839","£10,400"
HN09BYS,2021-05-23,poor,12,"123,000",2,partial,Peugeot,107,Manual,Petrol,Black,Hatchback,£150,,£232,£300
YK61YGZ,2021-05-23,good,9.4,"54,000",0,full,Vauxhall,Insignia,Manual,Diesel,Black,Hatchback,"£2,742",,"£2,348","£2,625"
FH07UJV,2021-05-23,good,13.8,"113,020",3,partial,Vauxhall,Corsa,Manual,Petrol,Silver,Hatchback,£150,,£345,£425
DU16VNY,2021-05-23,good,5.1,"67,000",1,full,Vauxhall,Mokka,Manual,Diesel,Black,Hatchback,"£5,067",,"£4,514","£5,200"
PK14GZO,2021-05-23,good,6.9,"79,449",2,partial,Citroen,C3,Manual,Petrol,Black,Hatchback,"£1,428",,"£1,121","£1,550"
MK58LGF,2021-05-23,good,12.7,"80,000",3,full,Peugeot,308,Manual,Petrol,Red,Hatchback,£476,,£389,£575
EJ11CCV,2021-05-23,poor,10,"68,000",3,partial,Ford,C-Max,Manual,Diesel,Blue,MPV,"£2,522",,"£1,804","£1,900"
YG07RXO,2021-05-23,average,14.2,"117,000",3,partial,Mazda,Mazda3,Automatic,Petrol,Silver,Hatchback,£329,,£430,£575
ND09LMO,2021-05-23,average,12,"90,500",4,full,Ford,Focus,Manual,Petrol,Grey,Hatchback,£912,,£632,£950
NJ12PYH,2021-05-23,poor,9.2,"67,000",1,partial,Ford,Focus,Automatic,Petrol,Silver,Hatchback,"£3,177",,"£2,399","£2,350"
PN58OLG,2021-05-23,poor,12.6,"59,000",2,partial,Citroen,C4,Automatic,Petrol,Grey,Hatchback,£689,,£466,£775
RV57ZKN,2021-05-23,average,13.7,"78,000",4,partial,BMW,3 Series,Automatic,Petrol,Black,Convertible,"£6,058",,"£5,543","£5,200"
GR06LHM,2021-05-23,average,14.8,"103,000",2,partial,Vauxhall,Astra,Manual,Petrol,Silver,Hatchback,£150,,£50,£325
YF12PFK,2021-05-23,poor,9,"120,000",2,partial,Nissan,Qashqai,Automatic,Petrol,Blue,SUV,"£3,255",,"£2,723","£3,250"
LN12UCE,2021-05-23,good,9.2,"80,000",1,partial,Vauxhall,Astra,Manual,Petrol,White,Hatchback,"£1,837",,"£1,666","£2,125"
AV62KXY,2021-05-23,good,8.7,"53,000",3,full,Hyundai,i10,Manual,Petrol,Silver,Hatchback,"£1,673",,"£1,215","£1,675"
CF07AHK,2021-05-23,poor,13.8,"99,700",3,full,Audi,A3,Automatic,Petrol,Grey,Hatchback,"£1,335",,£906,"£1,025"
SY03ASH,2021-05-23,average,7.5,"77,000",1,partial,Audi,Q3,Manual,Diesel,White,SUV,"£7,748",,"£6,981","£7,900"
VN14YOK,2021-05-23,excellent,7,"52,000",1,full,Ford,Fiesta,Manual,Petrol,Blue,Hatchback,"£3,420",,"£4,000","£4,000"
YK14VJE,2021-05-23,good,7.2,"115,000",1,full,BMW,5 Series,Automatic,Petrol Hybrid,Grey,Saloon,"£11,285",,"£7,653","£8,850"
OY08OBU,2021-05-23,good,13.1,"117,700",3,none,Volkswagen,Touareg,Automatic,Diesel,Black,SUV,"£3,618",,"£3,008","£3,275"
KR62RFL,2021-05-23,average,8.4,"80,758",2,partial,Nissan,Qashqai,Manual,Diesel,Black,SUV,"£3,949",,"£3,003","£3,700"
N66PDW,2021-05-23,excellent,8.2,"61,000",1,full,MINI,Hatch,Manual,Diesel,Orange,Hatchback,"£3,776",,"£4,170","£3,900"
KP10BGV,2021-05-23,poor,11,"115,000",4,none,Jaguar,XF,Automatic,Diesel,Black,Saloon,"£3,127",,"£1,988","£2,725"
AY10WKR,2021-05-23,poor,11.2,"123,800",1,partial,Fiat,Panda,Manual,Petrol,White,Hatchback,£150,,£50,£200
SH13FUV,2021-05-23,good,8,"68,000",1,none,Hyundai,i20,Manual,Petrol,Red,Hatchback,"£2,187",,"£1,726","£2,450"
E13XMA,2021-05-23,poor,8.2,"65,000",2,partial,SEAT,Ibiza,Manual,Petrol,Green,Hatchback,"£2,537",,"£1,854","£2,050"
X9ABE,2021-05-23,excellent,3.5,"2,500",2,full,Mercedes-Benz,C Class,Automatic,Petrol,White,Convertible,"£42,385",,"£44,565","£46,500"
CP11UCD,2021-05-23,good,10,"77,300",2,full,Ford,Kuga,Automatic,Diesel,Black,SUV,"£4,647",,"£3,858","£4,350"
EA64GGF,2021-05-23,poor,6.5,"121,000",0,partial,Fiat,Punto,Manual,Petrol,Grey,Hatchback,£660,,£330,£775
ND10EEN,2021-05-23,average,11,"134,400",4,full,Audi,A4,Manual,Diesel,Grey,Saloon,"£2,419",,"£1,983","£2,775"
NG13OUA,2021-05-23,good,7.7,"95,120",2,partial,BMW,1 Series,Manual,Diesel,White,Hatchback,"£4,057",,"£3,433","£4,975"
RV12ZGK,2021-05-23,good,9.2,"39,000",1,partial,Vauxhall,Corsa,Automatic,Petrol,Black,Hatchback,"£3,284",,"£3,110","£3,500"
DY06VMP,2021-05-23,poor,15.2,"168,000",1,none,Volkswagen,Touareg,Automatic,Diesel,Grey,SUV,£933,,£810,"£1,000"
BN12OEH,2021-05-23,good,9.1,"146,000",1,full,Nissan,Juke,Manual,Diesel,Red,SUV,"£1,730",,"£1,530","£1,950"
VN61YPT,2021-05-23,average,9.3,"80,000",2,partial,Volkswagen,Polo,Manual,Petrol,Blue,Hatchback,"£2,577",,"£1,856","£2,500"
HL13EER,2021-05-23,excellent,5.8,"61,500",1,partial,Ford,Ka,Manual,Petrol,Black,Hatchback,"£2,452",,"£2,360","£2,750"
OV57XRL,2021-05-23,average,13.3,"93,500",4,full,Nissan,Pathfinder,Manual,Diesel,Black,SUV,"£4,343",,"£3,003","£3,725"
RJ11XOG,2021-05-23,average,9.9,"111,716",3,none,Volkswagen,Golf,Manual,Diesel,Black,Hatchback,"£2,307",,"£1,624","£2,350"
VA07BWC,2021-05-23,good,14,"53,000",1,full,Ford,Fiesta,Manual,Petrol,Silver,Hatchback,£893,,£700,£925
BD64BTZ,2021-05-23,average,6.6,"181,000",0,full,Audi,A4,Automatic,Diesel,Silver,Saloon,"£3,321",,"£2,350","£3,350"
BD06MLV,2021-05-23,average,15,"86,000",4,none,Mercedes-Benz,B Class,Manual,Petrol,Black,Hatchback,£626,,£525,£750
MC65VZM,2021-05-23,good,5.4,"50,009",1,full,Toyota,AYGO,Manual,Petrol,Red,Hatchback,"£3,551",,"£3,248","£3,500"
SA10VEV,2021-05-23,good,11.2,"68,400",3,none,Ford,Focus,Manual,Petrol,Blue,Hatchback,"£1,504",,"£1,029","£1,625"
SY58TXG,2021-05-23,average,12.7,"138,500",4,none,Vauxhall,Vectra,Manual,Petrol,Red,Hatchback,£150,,£50,£250
SA13THZ,2021-05-23,good,8.2,"30,500",1,partial,Vauxhall,Corsa,Manual,Petrol,White,Hatchback,"£3,015",,"£2,059","£2,725"
GK12ZPZ,2021-05-23,good,9.2,"45,000",2,partial,Fiat,500,Manual,Petrol,Grey,Hatchback,"£2,439",,"£1,917","£2,525"
KT14KFY,2021-05-23,excellent,6.8,"37,000",1,full,Peugeot,208,Manual,Petrol,White,Hatchback,"£2,684",,"£3,000","£3,375"
WJ11YGR,2021-05-23,good,10.2,"120,000",3,none,Volkswagen,Golf,Manual,Diesel,Grey,Hatchback,"£1,868",,"£1,810","£2,050"
SM64LKA,2021-05-23,good,6.4,"14,000",0,partial,Vauxhall,Corsa,Manual,Petrol,Red,Hatchback,"£3,558",,"£3,248","£3,650"
CT62GWU,2021-05-23,average,8.5,"83,500",1,partial,BMW,3 Series,Manual,Diesel,Black,Saloon,"£5,532",,"£4,448","£5,100"
NL63EKC,2021-05-23,good,7.7,"31,000",1,full,MINI,Roadster,Manual,Petrol,Silver,Convertible,"£6,038",,"£5,293","£6,050"
GY64TNF,2021-05-23,good,6.5,"113,600",2,full,BMW,3 Series,Manual,Diesel,Red,Saloon,"£4,706",,"£4,151","£5,200"
MJ13DMV,2021-05-23,average,8,"38,700",1,none,Ford,C-Max,Manual,Petrol,Brown,MPV,"£3,801",,"£2,590","£3,700"
LM65VHY,2021-05-23,good,5.6,"104,000",3,full,Volkswagen,Passat,Automatic,Diesel,Silver,Saloon,"£7,395",,"£5,943","£7,150"
NJ60WGU,2021-05-23,poor,10.7,"68,262",2,full,BMW,X1,Manual,Diesel,Red,SUV,"£4,820",,"£3,665","£3,375"
WV61NNP,2021-05-23,average,9.7,"106,000",2,full,Volkswagen,CC,Manual,Diesel,Black,Coupe,"£3,411",,"£2,403","£2,900"
LX15ZCV,2021-05-23,good,6.2,"24,000",1,partial,Fiat,500,Manual,Petrol,Grey,Hatchback,"£3,799",,"£3,447","£3,925"
LC62WRO,2021-05-23,good,8.4,"54,900",2,full,Volvo,XC60,Automatic,Diesel,Silver,SUV,"£9,610",,"£8,528","£9,500"
MJ61CVT,2021-05-23,good,9.5,"64,000",2,full,Ford,Fiesta,Manual,Petrol,Silver,Hatchback,"£2,149",,"£1,601","£2,075"
KW59VOA,2021-05-23,average,11.3,"134,000",3,partial,Vauxhall,Astra,Manual,Petrol,Grey,Hatchback,£591,,£525,£775
C12SLE,2021-05-23,good,12.8,"137,000",2,partial,Audi,A6 Saloon,Manual,Diesel,Silver,Saloon,"£1,152",,"£1,029","£1,250"
SH11UMG,2021-05-23,poor,10,"83,600",4,partial,Audi,A5 Cabriolet,Automatic,Petrol,Blue,Convertible,"£4,218",,"£3,234","£3,300"
LL61HKA,2021-05-23,good,9.5,"40,000",1,full,MINI,Countryman,Manual,Diesel,Grey,SUV,"£5,079",,"£4,359","£4,975"
LV08LBP,2021-05-23,average,13.1,"100,000",3,none,Nissan,Note,Automatic,Petrol,Black,Hatchback,£900,,£672,"£1,075"
DX09UDM,2021-05-23,good,12,"71,000",4,full,MINI,Convertible,Manual,Petrol,Red,Convertible,"£2,395",,"£1,988","£2,150"
WP59WPN,2021-05-23,good,11.3,"101,000",2,partial,Ford,Focus,Manual,Petrol,Red,Hatchback,£817,,£643,"£1,025"
T111DUX,2021-05-23,average,8,"56,000",2,full,Land Rover,Range Rover Evoque,Automatic,Diesel,Grey,SUV,"£15,018",,"£13,703","£14,450"
SJ13VGM,2021-05-23,good,8.2,"88,900",4,partial,Audi,A6 Allroad,Automatic,Diesel,Black,Estate,"£10,502",,"£9,127","£9,750"
VE12FSK,2021-05-23,good,8.9,"101,000",2,none,Volkswagen,Tiguan,Manual,Diesel,Blue,SUV,"£4,337",,"£3,233","£4,100"
WR63FMM,2021-05-24,poor,7.4,"93,000",1,full,Volkswagen,Golf,Manual,Diesel,Red,Hatchback,"£4,284",,"£3,043","£3,925"
DE58FNP,2021-05-24,average,12.3,"73,000",1,partial,Mazda,Mazda6,Manual,Petrol,Silver,Hatchback,"£1,252",,£793,"£1,150"
ND60EER,2021-05-24,average,10.5,"138,500",2,partial,Honda,Insight,Automatic,Petrol Hybrid,Silver,Hatchback,"£1,753",,"£1,482","£1,800"
SB59HCY,2021-05-24,good,11.5,"93,000",4,partial,Fiat,Grande Punto,Manual,Petrol,White,Hatchback,£475,,£448,£550
YM15ZKC,2021-05-24,average,5.8,"74,000",1,partial,BMW,1 Series,Manual,Diesel,White,Hatchback,"£6,279",,"£5,244","£6,550"
KL06XRP,2021-05-24,average,15.1,"139,316",2,partial,Honda,CR-V,Automatic,Petrol,Silver,SUV,£946,,£868,"£1,225"
FN13JUT,2021-05-24,excellent,8.2,"54,000",3,partial,SEAT,Ibiza,Manual,Petrol,Grey,Hatchback,"£2,500",,"£2,555","£2,725"
NU10VZY,2021-05-24,average,11,"95,000",2,full,Citroen,Grand C4 Picasso,Manual,Diesel,Blue,MPV,£936,,£603,£850
KX56ZTL,2021-05-24,poor,14.7,"108,000",2,none,Volkswagen,Golf,Manual,Petrol,Black,Hatchback,"£3,125",,"£1,988","£1,900"
T4LHE,2021-05-24,good,13.6,"98,000",3,partial,BMW,1 Series,Manual,Petrol,Black,Hatchback,£669,,£838,"£1,225"
J99LSJ,2021-05-24,good,6,"72,000",2,full,Vauxhall,Corsa,Manual,Petrol,Red,Hatchback,"£3,147",,"£3,037","£3,300"
EX64EWR,2021-05-24,excellent,6.7,"71,000",2,full,Toyota,RAV4,Automatic,Diesel,Silver,SUV,"£9,099",,"£10,175","£9,400"
BK08LFL,2021-05-24,good,13.2,"59,000",2,full,BMW,Z4,Automatic,Petrol,Black,Convertible,"£6,604",,"£5,508","£6,850"
AV61TUO,2021-05-24,good,9.4,"64,865",4,partial,Fiat,Punto Evo,Manual,Petrol,Black,Hatchback,"£1,332",,"£1,029","£1,225"
AO10JVA,2021-05-24,average,11.1,"60,000",1,full,Nissan,Micra,Manual,Petrol,Red,Hatchback,£795,,£587,£750
EJ12HFG,2021-05-24,poor,9,"75,000",2,partial,Volkswagen,Polo,Manual,Petrol,Black,Hatchback,"£2,880",,"£1,988","£2,450"
T50TSA,2021-05-24,good,10.6,"83,000",3,full,Audi,A5 Cabriolet,Automatic,Diesel,Black,Convertible,"£6,837",,"£6,112","£6,950"
LL62TVX,2021-05-24,good,8.5,"93,300",1,partial,Peugeot,208,Automatic,Diesel,Silver,Hatchback,"£1,971",,"£1,726","£2,325"
CU13HLN,2021-05-24,poor,8.2,"90,000",3,partial,Suzuki,Swift,Manual,Petrol,Orange,Hatchback,"£1,673",,£941,"£1,125"
BN60VGC,2021-05-24,good,10.7,"98,000",1,full,Peugeot,308,Manual,Petrol,White,Hatchback,£766,,£625,"£1,000"
NL12KGV,2021-05-24,excellent,9,"90,000",1,full,Ford,Focus,Manual,Diesel,White,Hatchback,"£2,343",,"£2,755","£2,825"
AK09VJD,2021-05-24,poor,12.1,"112,000",3,full,Vauxhall,Corsa,Manual,Petrol,Silver,Hatchback,£451,,£232,£275
SU06BZY,2021-05-24,poor,15,"127,000",4,full,Lexus,RX 400h,Automatic,Petrol Hybrid,Blue,SUV,"£2,574",,"£2,091","£2,125"
FH10AXU,2021-05-24,good,10.9,"125,000",3,partial,MINI,Convertible,Manual,Petrol,Red,Convertible,"£1,400",,"£1,473","£1,475"
MK14VJL,2021-05-24,good,7.2,"100,992",1,full,Volkswagen,CC,Automatic,Diesel,Black,Saloon,"£5,332",,"£4,530","£5,100"
SB11ZWD,2021-05-24,good,9.8,"111,000",1,partial,Vauxhall,Corsa,Manual,Petrol,Black,Hatchback,£922,,£705,"£1,150"
RO13WRP,2021-05-24,good,8,"73,000",2,full,Audi,A1,Manual,Diesel,Blue,Hatchback,"£5,382",,"£5,253","£5,600"
RJ11XOG,2021-05-24,poor,9.9,"111,720",3,none,Volkswagen,Golf,Manual,Diesel,Black,Hatchback,"£2,311",,"£1,438","£2,050"
EO57VMR,2021-05-24,poor,13.7,"56,000",1,partial,Ford,S-Max,Manual,Diesel,Silver,MPV,"£2,497",,"£1,559","£1,575"
LD12AEK,2021-05-24,average,9.2,"63,000",3,partial,BMW,1 Series,Manual,Diesel,Black,Hatchback,"£4,319",,"£3,219","£3,900"
BF07XDA,2021-05-24,poor,14.2,"100,000",1,none,Ford,Focus,Manual,Petrol,Blue,Hatchback,£243,,£231,£350
HL13EER,2021-05-24,excellent,5.8,"61,000",1,partial,Ford,Ka,Manual,Petrol,Black,Hatchback,"£2,472",,"£2,445","£2,775"
BJ60MUU,2021-05-24,poor,10.5,"133,000",3,partial,Alfa Romeo,Giulietta,Manual,Petrol,White,Hatchback,"£1,287",,£797,"£1,100"
SS16AEO,2021-05-24,average,4.9,"73,000",1,full,Hyundai,Tucson,Automatic,Diesel,Grey,SUV,"£9,088",,"£8,224","£8,750"
SL13RAU,2021-05-24,average,8,"80,000",1,full,Volkswagen,Golf,Manual,Diesel,Black,Hatchback,"£4,706",,"£3,772","£4,625"
WN14XOO,2021-05-24,good,7,"61,481",1,partial,Ford,Fiesta,Manual,Petrol,Black,Hatchback,"£3,330",,"£2,711","£3,600"
YB09XYM,2021-05-24,poor,11.8,"116,965",2,partial,BMW,3 Series,Automatic,Diesel,Black,Saloon,"£2,197",,"£1,878","£2,225"
FL11HPP,2021-05-24,average,10.1,"105,000",1,full,BMW,1 Series,Manual,Diesel,Red,Hatchback,"£1,813",,"£1,591","£2,150"
EF64VUE,2021-05-24,average,6.3,"74,000",4,partial,Ford,Fiesta,Manual,Petrol,Red,Hatchback,"£3,211",,"£1,951","£2,650"
SK56ZBO,2021-05-24,good,14.7,"72,000",2,partial,Toyota,Yaris,Automatic,Petrol,Silver,Hatchback,"£1,464",,"£1,099","£1,700"
LD58NVK,2021-05-24,average,12.7,"57,000",1,full,Suzuki,Swift,Manual,Diesel,Black,Hatchback,"£1,624",,£703,£925
VN62ENU,2021-05-24,average,8.6,"49,000",2,partial,Fiat,500,Manual,Petrol,Red,Hatchback,"£2,017",,"£1,396","£1,875"
GU62OKV,2021-05-24,poor,8.7,"70,000",2,full,Ford,Focus,Manual,Petrol,Red,Hatchback,"£2,834",,"£1,841","£2,050"
YJ59OCF,2021-05-24,good,11.4,"65,000",2,partial,Kia,Sedona,Automatic,Diesel,Black,MPV,"£2,208",,"£1,122","£1,375"
YP08ONT,2021-05-24,poor,13.1,"67,000",2,full,Ford,Focus,Automatic,Petrol,Grey,Hatchback,"£1,690",,"£1,046","£1,300"
MT06FYF,2021-05-24,average,15,"128,200",1,partial,Audi,A4 Cabriolet,Automatic,Diesel,Silver,Convertible,"£1,319",,"£1,424","£1,725"
MA58EFD,2021-05-24,good,12.7,"52,000",2,partial,Vauxhall,Corsa,Manual,Petrol,White,Hatchback,£969,,£577,"£1,200"
OU07KMA,2021-05-24,average,14.2,"152,769",1,none,Nissan,Micra,Manual,Diesel,Black,Hatchback,£150,,£50,£275
SA13THZ,2021-05-24,good,8.2,"30,500",1,partial,Vauxhall,Corsa,Manual,Petrol,White,Hatchback,"£3,016",,"£1,980","£2,725"
OY12ZXN,2021-05-24,poor,9.2,"101,717",4,full,Audi,A5,Automatic,Diesel,White,Hatchback,"£8,031",,"£5,707","£6,100"
HN12FVS,2021-05-24,average,9,"69,485",1,partial,Citroen,DS3,Manual,Petrol,Red,Hatchback,"£2,155",,"£1,641","£1,875"
GU09MKO,2021-05-24,good,11.9,"150,000",2,none,Nissan,Micra,Manual,Diesel,Black,Hatchback,£150,,£113,£450
VK12XSY,2021-05-24,good,9.1,"96,988",1,partial,BMW,3 Series,Manual,Diesel,Blue,Saloon,"£4,610",,"£4,134","£4,625"
SE16PYJ,2021-05-24,good,4.8,"76,500",1,full,Ford,Focus,Manual,Petrol,White,Hatchback,£0,,"£9,107","£10,100"
LV10HHE,2021-05-24,average,11.2,"90,799",2,full,Vauxhall,Astra,Manual,Petrol,Red,Hatchback,£883,,£550,£825
OY59RXC,2021-05-24,excellent,11.7,"50,000",2,full,Ford,Ka,Manual,Petrol,Black,Hatchback,"£1,071",,"£1,335","£1,475"
HY06NPC,2021-05-24,good,15.2,"107,000",2,partial,Renault,Clio,Manual,Petrol,Red,Hatchback,£171,,£108,£325
FP11LYF,2021-05-24,good,10,"50,550",2,full,Audi,TT,Manual,Petrol,White,Coupe,"£8,156",,"£6,418","£8,800"
EN14MLX,2021-05-24,excellent,6.9,"45,000",1,full,Smart,fortwo,Automatic,Petrol,White,Convertible,"£3,223",,"£4,610","£4,175"
Y29RAJ,2021-05-24,good,7.8,"60,000",1,full,BMW,3 Series,Automatic,Diesel,Black,Convertible,"£8,698",,"£8,947","£8,900"
GK09RPO,2021-05-24,good,12.2,"119,350",2,full,Volkswagen,Touran,Automatic,Diesel,Grey,MPV,"£1,732",,"£1,535","£2,050"
DE63FON,2021-05-24,average,7.6,"121,000",2,partial,Volkswagen,Golf,Manual,Diesel,Black,Hatchback,"£3,805",,"£2,703","£3,575"
LB62YVN,2021-05-24,poor,8.3,"82,000",2,full,Land Rover,Freelander 2,Automatic,Diesel,Black,SUV,"£8,973",,"£7,566","£7,950"
KP12KUK,2021-05-24,average,9,"69,500",2,full,Volkswagen,Jetta,Manual,Diesel,Grey,Saloon,"£3,547",,"£2,739","£3,275"
NL11BGU,2021-05-24,good,10.2,"80,000",3,full,Volkswagen,Polo,Manual,Petrol,White,Hatchback,"£2,589",,"£2,175","£2,875"
YX11XBC,2021-05-24,excellent,10.2,"75,600",1,full,BMW,3 Series,Manual,Petrol,Black,Estate,"£4,680",,"£4,000","£4,050"
KA07FWX,2021-05-24,average,13.9,"119,000",2,none,Vauxhall,Zafira,Automatic,Petrol,Black,MPV,£632,,£410,£475
VSU730,2021-05-24,good,9.2,"68,000",2,full,Mercedes-Benz,C Class,Automatic,Diesel,Black,Estate,"£8,960",,"£6,742","£7,950"
K444KCO,2021-05-24,poor,12.4,"100,000",4,partial,Audi,A4 Cabriolet,Automatic,Diesel,Silver,Convertible,"£1,985",,"£1,783","£1,825"
CE65UET,2021-05-24,good,5.7,"82,000",1,full,Mercedes-Benz,CLA Class,Automatic,Diesel,Black,Coupe,"£10,057",,"£10,000","£10,500"
G4JCL,2021-05-24,excellent,12.3,"34,000",4,full,Porsche,911,Automatic,Petrol,Black,Coupe,"£38,229",,"£35,000","£36,200"
FP10ZPU,2021-05-24,good,11,"145,000",2,partial,Audi,A6 Saloon,Automatic,Diesel,Blue,Saloon,"£2,274",,"£4,792","£2,875"
SV16ZZN,2021-05-24,average,5.2,"89,000",2,partial,Nissan,X-Trail,Manual,Diesel,Grey,SUV,"£8,435",,"£7,003","£8,200"
RK62WPL,2021-05-24,good,8.7,"85,000",2,full,SEAT,Alhambra,Manual,Diesel,Grey,MPV,"£6,291",,"£5,582","£5,650"
CF13EAJ,2021-05-24,poor,7.9,"118,000",1,full,BMW,1 Series,Manual,Diesel,Silver,Hatchback,"£2,896",,"£1,988","£2,850"
MJ06EWK,2021-05-24,poor,15.1,"92,000",4,none,Kia,Sportage,Manual,Petrol,Blue,SUV,£638,,£295,£400
LO14GHA,2021-05-24,good,6.9,"77,000",0,full,Mitsubishi,Outlander,Automatic,Petrol Plug-in Hybrid,White,SUV,"£7,653",,"£7,850","£8,800"
YL08VWD,2021-05-24,average,12.8,"99,000",4,partial,Audi,A3,Manual,Petrol,Red,Hatchback,"£1,181",,"£1,247","£1,600"
AV13FME,2021-05-24,good,8,"94,000",4,full,Ford,Mondeo,Automatic,Diesel,Brown,Estate,"£3,841",,"£2,804","£3,475"
DE14DMV,2021-05-24,good,7.1,"78,000",2,partial,Nissan,Qashqai,Manual,Petrol,Black,SUV,"£5,465",,"£4,422","£5,550"
LC14YDU,2021-05-24,excellent,6.8,"92,000",2,full,Audi,A4 Avant,Automatic,Diesel,Grey,Estate,"£6,033",,"£7,000","£6,850"
MJ12HMU,2021-05-24,poor,9,"60,000",1,partial,Ford,Focus,Manual,Petrol,Grey,Hatchback,"£3,007",,"£2,103","£2,300"
FE14YUT,2021-05-24,poor,7.1,"110,000",1,partial,Ford,Fiesta,Manual,Diesel,Blue,Hatchback,"£2,262",,"£1,410","£2,000"
DL14CEA,2021-05-24,good,6.8,"47,000",1,full,Vauxhall,Corsa,Automatic,Petrol,Silver,Hatchback,"£2,853",,"£2,603","£3,700"
